"","date","england_new_deaths","england_seven_day_average","wales_new_deaths","wales_seven_day_average","scotland_new_deaths","scotland_seven_day_average","northern_ireland_new_deaths","northern_ireland_seven_day_average"
"105","2020-06-30",43,45.8571428571429,4,4.57142857142857,0,1,0,0.571428571428571
"106","2020-07-01",21,39.2857142857143,4,4.28571428571429,0,0.857142857142857,1,0.714285714285714
"107","2020-07-02",40,36.7142857142857,3,3.42857142857143,0,0.857142857142857,0,0.571428571428571
"108","2020-07-03",26,35,0,3.14285714285714,1,1,2,0.571428571428571
"109","2020-07-04",31,33.8571428571429,2,2.57142857142857,0,0.428571428571429,0,0.571428571428571
"110","2020-07-05",24,31.2857142857143,2,2.57142857142857,1,0.428571428571429,0,0.571428571428571
"111","2020-07-06",34,31.2857142857143,2,2.42857142857143,0,0.285714285714286,0,0.428571428571429
"112","2020-07-07",26,28.8571428571429,1,2,0,0.285714285714286,0,0.428571428571429
"113","2020-07-08",23,29.1428571428571,1,1.57142857142857,0,0.285714285714286,0,0.285714285714286
"114","2020-07-09",35,28.4285714285714,1,1.28571428571429,0,0.285714285714286,1,0.428571428571429
"115","2020-07-10",22,27.8571428571429,0,1.28571428571429,0,0.142857142857143,0,0.142857142857143
"116","2020-07-11",20,26.2857142857143,1,1.14285714285714,0,0.142857142857143,0,0.142857142857143
"117","2020-07-12",13,24.7142857142857,0,0.857142857142857,0,0,1,0.285714285714286
"118","2020-07-13",23,23.1428571428571,2,0.857142857142857,0,0,0,0.285714285714286
"119","2020-07-14",20,22.2857142857143,1,0.857142857142857,0,0,0,0.285714285714286
"120","2020-07-15",20,21.8571428571429,0,0.714285714285714,0,0,0,0.285714285714286
"121","2020-07-16",12,18.5714285714286,1,0.714285714285714,0,0,0,0.142857142857143
"122","2020-07-17",18,18,0,0.714285714285714,0,0,0,0.142857142857143
"123","2020-07-18",14,17.1428571428571,0,0.571428571428571,0,0,0,0.142857142857143
"124","2020-07-19",14,17.2857142857143,0,0.571428571428571,0,0,0,0
"125","2020-07-20",12,15.7142857142857,0,0.285714285714286,0,0,0,0
"126","2020-07-21",19,15.5714285714286,1,0.285714285714286,0,0,0,0
"127","2020-07-22",17,15.1428571428571,1,0.428571428571429,0,0,0,0
"128","2020-07-23",16,15.7142857142857,0,0.285714285714286,0,0,0,0
"129","2020-07-24",6,14,1,0.428571428571429,0,0,0,0
"130","2020-07-25",14,14,2,0.714285714285714,1,0.142857142857143,0,0
"131","2020-07-26",15,14.1428571428571,2,1,0,0.142857142857143,0,0
"132","2020-07-27",11,14,1,1.14285714285714,0,0.142857142857143,0,0
"133","2020-07-28",10,12.7142857142857,2,1.28571428571429,0,0.142857142857143,0,0
"134","2020-07-29",8,11.4285714285714,4,1.71428571428571,0,0.142857142857143,0,0
"135","2020-07-30",8,10.2857142857143,2,2,0,0.142857142857143,0,0
"136","2020-07-31",10,10.8571428571429,4,2.42857142857143,0,0.142857142857143,0,0
"137","2020-08-01",9,10.1428571428571,2,2.42857142857143,0,0,0,0
"138","2020-08-02",8,9.14285714285714,2,2.42857142857143,0,0,0,0
"139","2020-08-03",15,9.71428571428571,1,2.42857142857143,0,0,0,0
"140","2020-08-04",10,9.71428571428571,4,2.71428571428571,0,0,0,0
"141","2020-08-05",3,9,3,2.57142857142857,0,0,0,0
"142","2020-08-06",9,9.14285714285714,0,2.28571428571429,0,0,0,0
"143","2020-08-07",8,8.85714285714286,5,2.42857142857143,0,0,0,0
"144","2020-08-08",11,9.14285714285714,2,2.42857142857143,0,0,1,0.142857142857143
"145","2020-08-09",9,9.28571428571429,0,2.14285714285714,0,0,0,0.142857142857143
"146","2020-08-10",11,8.71428571428571,2,2.28571428571429,0,0,0,0.142857142857143
