"","date","england_daily_cases","england_seven_day_average","wales_daily_cases","wales_seven_day_average","scotland_new_cases","scotland_seven_day_average","northern_ireland_new_cases","northern_ireland_seven_day_average"
"109","2020-06-22",178,260.714285714286,71,56.1428571428571,14,20,1,2.71428571428571
"110","2020-06-23",210,254.714285714286,51,54.1428571428571,12,19.5714285714286,0,2.42857142857143
"111","2020-06-24",107,234,47,53.2857142857143,9,17.8571428571429,2,1.57142857142857
"112","2020-06-25",261,231.142857142857,125,64.2857142857143,5,17,1,1.57142857142857
"113","2020-06-26",175,210,65,69.1428571428571,17,15.5714285714286,4,1.71428571428571
"114","2020-06-27",192,191.142857142857,46,72.1428571428571,15,14,2,2
"115","2020-06-28",142,180.714285714286,25,61.4285714285714,8,11.4285714285714,1,1.57142857142857
"116","2020-06-29",99,169.428571428571,116,67.8571428571429,5,10.1428571428571,6,2.28571428571429
"117","2020-06-30",196,167.428571428571,26,64.2857142857143,10,9.85714285714286,3,2.71428571428571
"118","2020-07-01",177,177.428571428571,32,62.1428571428571,8,9.71428571428571,1,2.57142857142857
"119","2020-07-02",523,214.857142857143,41,50.1428571428571,5,9.71428571428571,7,3.42857142857143
"120","2020-07-03",502,261.571428571429,26,44.5714285714286,12,9,4,3.42857142857143
"121","2020-07-04",579,316.857142857143,34,42.8571428571429,11,8.42857142857143,0,3.14285714285714
"122","2020-07-05",492,366.857142857143,15,41.4285714285714,9,8.57142857142857,0,3
"123","2020-07-06",331,400,8,26,4,8.42857142857143,0,2.14285714285714
"124","2020-07-07",572,453.714285714286,2,22.5714285714286,2,7.28571428571429,5,2.42857142857143
"125","2020-07-08",606,515,13,19.8571428571429,7,7.14285714285714,4,2.85714285714286
"126","2020-07-09",617,528.428571428571,16,16.2857142857143,6,7.28571428571429,3,2.28571428571429
"127","2020-07-10",480,525.285714285714,10,14,18,8.14285714285714,4,2.28571428571429
"128","2020-07-11",806,557.714285714286,7,10.1428571428571,7,7.57142857142857,0,2.28571428571429
"129","2020-07-12",615,575.285714285714,16,10.2857142857143,19,9,0,2.28571428571429
